condition_key,w_inter,a_hat_value
WT_APP,5.0,0.05818594444493708
WT_APP,5.0,0.04353491512656107
WT_APP,5.0,0.024772334702129386
WT_APP,5.0,0.019990181815213035
WT_APP,5.0,0.09862834816023973
WT_APP,5.0,0.017307730670749553
WT_APP,5.0,0.034372331746094435
WT_APP,5.0,0.024758831750038967
WT_APP,5.0,0.06634025092680745
WT_APP,5.0,0.012766278069294595
WT_APP,5.0,0.04233151759612077
WT_APP,5.0,0.0446128726899976
WT_APP,5.0,0.02895591947384478
WT_APP,5.0,0.08659572303980437
WT_APP,5.0,0.07551512837408518
WT_APP,5.0,0.05818594444493708
WT_APP,5.0,0.09963103602845123
WT_APP,5.0,0.023262266704537064
WT_APP,5.0,0.016413450189428358
WT_APP,5.0,0.045335627082081074
WT_APP,5.0,0.05659888848942362
WT_APP,5.0,0.06642623937535441
WT_APP,5.0,0.02342344550613673
WT_APP,5.0,0.027799182073175416
WT_APP,5.0,0.05402818816583201
WT_APP,5.0,0.01009815590663
WT_APP,5.0,0.06439837148864769
WT_APP,5.0,0.04261138661284216
WT_APP,5.0,0.008839562099258342
WT_APP,5.0,0.05359652153159088
WT_APP,5.0,0.03537852208759005
WT_APP,5.0,0.09963103602845123
WT_APP,5.0,0.024658419608551977
WT_APP,5.0,0.056016310218863365
WT_APP,5.0,0.08102820853647781
WT_APP,5.0,0.07062796928994414
WT_APP,5.0,0.0293854511711624
WT_APP,5.0,0.06531230610500491
WT_APP,5.0,0.0372073556373141
WT_APP,5.0,0.06372626615680439
WT_APP,5.0,0.04916945818955812
WT_APP,5.0,0.060291674846232574
WT_APP,5.0,0.027789546198057437
WT_APP,5.0,0.01967388309308039
WT_APP,5.0,0.08585867980634805
WT_APP,5.0,0.03666286890702489
WT_APP,5.0,0.0754862644171591
WT_APP,5.0,0.024658419608551977
WT_APP,5.0,0.028578699185369566
WT_APP,5.0,0.05658924135416496
WT_APP,5.0,0.023376969616420173
WT_APP,5.0,0.02654282167561545
WT_APP,5.0,0.02252059573632083
WT_APP,5.0,0.08287097166390686
WT_APP,5.0,0.038215425084204835
WT_APP,5.0,0.034321181840456745
WT_APP,5.0,0.0373192336589362
WT_APP,5.0,0.017302873521376348
WT_APP,5.0,0.026532894765245573
WT_APP,5.0,0.043658050114506367
WT_APP,5.0,0.09519768890069809
WT_APP,5.0,0.04301262126677834
WT_APP,5.0,0.048583195890048385
WT_APP,5.0,0.028578699185369566
WT_APP,5.0,0.026590493630099816
WT_APP,5.0,0.01840845706001234
WT_APP,5.0,0.017723426288390066
WT_APP,5.0,0.006087500854312303
WT_APP,5.0,0.07278479719816956
WT_APP,5.0,0.08763218659145032
WT_APP,5.0,0.045601038450000575
WT_APP,5.0,0.036845508184836624
WT_APP,5.0,0.03957584829104161
WT_APP,5.0,0.04051566326136495
WT_APP,5.0,0.06891003592347635
WT_APP,5.0,0.05280136151115592
WT_APP,5.0,0.04221388474932916
WT_APP,5.0,0.04711587188025588
WT_APP,5.0,0.03573101729528727
WT_APP,5.0,0.026590493630099816
WT_APP,5.0,0.06691611536268845
WT_APP,5.0,0.05860028844032307
WT_APP,5.0,0.02358482619526537
WT_APP,5.0,0.041364701982982574
WT_APP,5.0,0.037728826283766136
WT_APP,5.0,0.046192054255158134
WT_APP,5.0,0.04843734811083737
WT_APP,5.0,0.03716939361857617
WT_APP,5.0,0.04411545858789191
WT_APP,5.0,0.015857017180549635
WT_APP,5.0,0.00911923666129068
WT_APP,5.0,0.06433457850907581
WT_APP,5.0,0.020553291293760906
WT_APP,5.0,0.07289527107503849
WT_APP,5.0,0.042968540870050906
WT_APP,5.0,0.06691611536268845
WT_APP,5.0,0.02596273510522117
WT_APP,5.0,0.04248937095602063
WT_APP,5.0,0.023304846144523453
WT_APP,5.0,0.012805983932921096
WT_APP,5.0,0.03942039222546799
WT_APP,5.0,0.0658606870476891
WT_APP,5.0,0.09785440289538441
WT_APP,5.0,0.10334391502622968
WT_APP,5.0,0.09971895383882426
WT_APP,5.0,0.07895531982673727
WT_APP,5.0,0.055589500784734104
WT_APP,5.0,0.03692815950587257
WT_APP,5.0,0.02789994243047089
WT_APP,5.0,0.04964940887162289
WT_APP,5.0,0.048095406240123977
WT_APP,5.0,0.02596273510522117
WT_APP,5.0,0.02431187486118024
WT_APP,5.0,0.01528661288506595
WT_APP,5.0,0.05566327994107154
WT_APP,5.0,0.043926221642646715
WT_APP,5.0,0.03069982858028267
WT_APP,5.0,0.08956882858538018
WT_APP,5.0,0.10740261520354419
WT_APP,5.0,0.09910240017630326
WT_APP,5.0,0.06453968219567292
WT_APP,5.0,0.04203821064585421
WT_APP,5.0,0.07411840929945636
WT_APP,5.0,0.03906270545410323
WT_APP,5.0,0.06439392966667404
WT_APP,5.0,0.07502593975608697
WT_APP,5.0,0.03128378271450468
WT_APP,5.0,0.02431187486118024
WT_APP,5.0,0.07926031146713942
WT_APP,5.0,0.030896778541726816
WT_APP,5.0,0.05656051608809475
WT_APP,5.0,0.03610072973966329
WT_APP,5.0,0.03955418743173081
WT_APP,5.0,0.05682440086909634
WT_APP,5.0,0.07879633626054106
WT_APP,5.0,0.11474849645900834
